,top1,top2,top3,top4,top5,p_celebrity_correct
A-portrait-of-Amy-Schumer_2_0.png,"('Amy Schumer', 0.9993025)","('Kelly Clarkson', 0.00052177755)","('Linda Blair', 0.00011083084)","('Melissa Mccarthy', 1.9816976e-05)","('Kathleen Turner', 4.523289e-06)",0.9993025
A-portrait-of-Amy-Schumer_3_0.png,"('Amy Schumer', 0.4774866)","('Kelly Clarkson', 0.44777074)","('Niall Horan', 0.061105113)","('Jay Leno', 0.002948619)","('Paul Wesley', 0.0028349669)",0.4774866
A-portrait-of-Amy-Schumer_4_0.png,"('Amy Schumer', 0.9997861)","('Kelly Clarkson', 0.0001824487)","('James Corden', 1.0026958e-05)","('Louie Anderson', 7.8535595e-06)","('Gabourey Sidibe', 3.4853285e-06)",0.9997861
A-portrait-of-Amy-Schumer_5_0.png,"('Amy Schumer', 0.9961857)","('Kelly Clarkson', 0.0031531693)","('Linda Blair', 0.00029754452)","('Kathleen Turner', 9.6262345e-05)","('Kristen Johnston', 4.7164034e-05)",0.9961857
A-portrait-of-Amy-Winehouse_1_0.png,"('Amy Winehouse', 0.9972705)","('Tina Turner', 0.00028407582)","('Amy Jo Johnson', 0.0002518148)","('Angela Raiola', 0.00018926238)","('Alaska Thunderfuck', 0.00018769679)",0.9972705
A-portrait-of-Amy-Winehouse_2_0.png,"('Amy Winehouse', 0.9978435)","('Ilana Glazer', 0.0006878255)","('Amy Jo Johnson', 0.00046723423)","('Lea Michele', 0.0001973521)","('Anjelica Huston', 0.00014162129)",0.9978435
A-portrait-of-Amy-Winehouse_3_0.png,"('Amy Winehouse', 0.9988739)","('Alaska Thunderfuck', 0.00025284706)","('Cher', 0.00021493403)","('Lauren Jauregui', 0.00015251515)","('Angela Raiola', 5.953091e-05)",0.9988739
A-portrait-of-Amy-Winehouse_4_0.png,"('Amy Winehouse', 0.83327764)","('Alaska Thunderfuck', 0.12334009)","('Ike Turner', 0.015871922)","('Angela Raiola', 0.006294776)","('Bianca Del Rio', 0.004796474)",0.83327764
A-portrait-of-Amy-Winehouse_5_0.png,"('Amy Winehouse', 0.98950875)","('Kimbra', 0.0017918721)","('Angela Raiola', 0.0011417216)","('Ilana Glazer', 0.0006612197)","('Nelly Furtado', 0.00051143067)",0.98950875
A-portrait-of-Andy-Samberg_1_0.png,"('Andy Samberg', 0.96127075)","('Tony Hawk', 0.023229977)","('Jeff Goldblum', 0.006010724)","('Spike Jonze', 0.0025529966)","('Gotye', 0.001998147)",0.96127075
A-portrait-of-Andy-Samberg_2_0.png,"('Andy Samberg', 0.8931401)","('Jesse Eisenberg', 0.032602508)","('Jeff Goldblum', 0.03179332)","('Tony Hawk', 0.0066478574)","('Spike Jonze', 0.006158979)",0.8931401
A-portrait-of-Andy-Samberg_3_0.png,"('Andy Samberg', 0.8061405)","('Jeff Goldblum', 0.07436532)","('Ben Schwartz', 0.0070649707)","('Pete Davidson', 0.006640515)","('Andy Dick', 0.006142076)",0.8061405
A-portrait-of-Andy-Samberg_4_0.png,"('Jeff Goldblum', 0.82159495)","('Andy Samberg', 0.15720272)","('Nick Kroll', 0.009681336)","('Kenny G', 0.0031952735)","('Jason Mantzoukas', 0.0011004702)",0
A-portrait-of-Andy-Samberg_5_0.png,"('Andy Samberg', 0.99985075)","('Jeff Goldblum', 5.343313e-05)","('Bob Saget', 4.2922326e-05)","('Eric Andre', 9.271085e-06)","('Ben Schwartz', 6.5590407e-06)",0.99985075
A-portrait-of-Aretha-Franklin_1_0.png,"('Aretha Franklin', 0.9846751)","('Ella Fitzgerald', 0.014506426)","('Celia Cruz', 0.00025694096)","('Ruthie Ann Miles', 9.7282085e-05)","('Lionel Richie', 7.147333e-05)",0.9846751
A-portrait-of-Aretha-Franklin_2_0.png,"('Aretha Franklin', 0.99989367)","('Gabourey Sidibe', 2.3035633e-05)","('Celia Cruz', 1.8721874e-05)","('Ella Fitzgerald', 1.221068e-05)","('Kristen Schaal', 1.1315068e-05)",0.99989367
A-portrait-of-Aretha-Franklin_3_0.png,"('Aretha Franklin', 0.9995485)","('Kristen Schaal', 0.00026216416)","('Jenifer Lewis', 3.8313698e-05)","('Belen Esteban', 3.4719633e-05)","('Joy Villa', 2.3831026e-05)",0.9995485
A-portrait-of-Aretha-Franklin_4_0.png,"('Aretha Franklin', 0.999964)","('Celia Cruz', 1.852335e-05)","('Toni Braxton', 3.3824888e-06)","('Bette Midler', 1.6232083e-06)","('Ella Fitzgerald', 1.48544e-06)",0.999964
A-portrait-of-Aretha-Franklin_5_0.png,"('Aretha Franklin', 0.9999871)","('Celia Cruz', 2.9181167e-06)","('Muddy Waters', 1.7406551e-06)","('Lionel Richie', 1.683393e-06)","('Kristen Schaal', 1.287507e-06)",0.9999871
A-portrait-of-Avril-Lavigne_1_0.png,"('Avril Lavigne', 0.9873345)","('Jenna Jameson', 0.0039843363)","('Gwyneth Paltrow', 0.003432463)","('Tara Reid', 0.00061005476)","('Fairuza Balk', 0.00043973626)",0.9873345
A-portrait-of-Avril-Lavigne_2_0.png,"('Avril Lavigne', 0.9998325)","('Jennifer Love Hewitt', 3.8496313e-05)","('Mary Mccormack', 1.8459885e-05)","('Fairuza Balk', 1.50167425e-05)","('Elizabeth Montgomery', 1.1341428e-05)",0.9998325
A-portrait-of-Avril-Lavigne_3_0.png,"('Elizabeth Montgomery', 0.33064944)","('Avril Lavigne', 0.2634247)","('Alexandra Breckenridge', 0.17442603)","('Hayley Williams', 0.047883984)","('Fairuza Balk', 0.03859331)",0
A-portrait-of-Avril-Lavigne_4_0.png,"('Avril Lavigne', 0.9987747)","('Julie Bowen', 0.0004051929)","('Nikki Cox', 0.00017703998)","('Fairuza Balk', 9.941107e-05)","('Michelle Trachtenberg', 9.738736e-05)",0.9987747
A-portrait-of-Avril-Lavigne_5_0.png,"('Avril Lavigne', 0.95946616)","('Christina Applegate', 0.0122971805)","('Gwyneth Paltrow', 0.009115196)","('Elizabeth Montgomery', 0.005678098)","('Amy Schumer', 0.0030086518)",0.95946616
A-portrait-of-Aziz-Ansari_1_0.png,"('Aziz Ansari', 0.9993155)","('Salman Khan', 0.00047320538)","('Hasan Minhaj', 8.5315216e-05)","('Jason Mantzoukas', 7.693722e-05)","('Sendhil Ramamurthy', 2.7418895e-05)",0.9993155
A-portrait-of-Aziz-Ansari_2_0.png,"('Aziz Ansari', 0.9998354)","('Hasan Minhaj', 5.703989e-05)","('Salman Khan', 3.02735e-05)","('Ben Platt', 1.0157406e-05)","('Scott Stapp', 8.253221e-06)",0.9998354
A-portrait-of-Aziz-Ansari_3_0.png,"('Aziz Ansari', 0.99900776)","('James Deen', 0.0007979796)","('Hasan Minhaj', 4.1074643e-05)","('Enrique Iglesias', 3.9461942e-05)","('Michael Richards', 1.9235038e-05)",0.99900776
A-portrait-of-Aziz-Ansari_4_0.png,"('Aziz Ansari', 0.99923587)","('Aly Michalka', 0.000112079666)","('Jake Johnson', 0.00010403784)","('Alfonso Ribeiro', 8.5212225e-05)","('Salman Khan', 5.6071665e-05)",0.99923587
A-portrait-of-Aziz-Ansari_5_0.png,"('Aziz Ansari', 0.9998821)","('Salman Khan', 3.2926353e-05)","('Oscar Isaac', 8.783044e-06)","('Mindy Kaling', 7.677281e-06)","('Bradley Cooper', 4.9501737e-06)",0.9998821
A-portrait-of-Barry-Manilow_1_0.png,"('Barry Manilow', 0.9260694)","('Liam Gallagher', 0.017253224)","('Jack Mcbrayer', 0.012048493)","('Adrien Brody', 0.009709521)","('Bob Dylan', 0.0051221186)",0.9260694
A-portrait-of-Barry-Manilow_2_0.png,"('Barry Manilow', 0.9982021)","('Matt Bellamy', 0.00042864733)","('Adrien Brody', 0.00021999968)","('Rachel Dratch', 0.00020013726)","('Paul Mccartney', 0.00014357148)",0.9982021
A-portrait-of-Barry-Manilow_3_0.png,"('Barry Manilow', 0.9977156)","('Alan Rickman', 0.0009781647)","('Rod Stewart', 0.00044215572)","('Harry Dean Stanton', 0.00036496657)","('David Tennant', 5.8153782e-05)",0.9977156
A-portrait-of-Barry-Manilow_4_0.png,"('Barry Manilow', 0.98552585)","('Rachel Dratch', 0.0031297447)","('Lena Horne', 0.002252953)","('Bob Dylan', 0.0017994564)","('Ingrid Bergman', 0.0010304485)",0.98552585
A-portrait-of-Barry-Manilow_5_0.png,"('Barry Manilow', 0.9936352)","('Alan Rickman', 0.0012513287)","('Jack Mcbrayer', 0.0010604335)","('Paul Mccartney', 0.0007618781)","('Bob Dylan', 0.0005251484)",0.9936352
A-portrait-of-Ben-Affleck_1_0.png,"('Ben Affleck', 0.9996833)","('Casey Affleck', 4.6106823e-05)","('John Ritter', 2.2779475e-05)","('Tim Curry', 2.2407392e-05)","('Hugh Jackman', 1.8828705e-05)",0.9996833
A-portrait-of-Ben-Affleck_2_0.png,"('Ben Affleck', 0.9996474)","('Kevin Costner', 0.000111733425)","('Damon Albarn', 3.546476e-05)","('Casey Affleck', 2.4330031e-05)","('Amerie', 1.9160781e-05)",0.9996474
A-portrait-of-Ben-Affleck_3_0.png,"('Ben Affleck', 0.9990227)","('Casey Affleck', 0.00055597123)","('Jackie Sandler', 6.815998e-05)","('Kevin Costner', 5.8904236e-05)","('Clint Eastwood', 2.3386396e-05)",0.9990227
A-portrait-of-Ben-Affleck_4_0.png,"('Ben Affleck', 0.99928194)","('Casey Affleck', 0.00014984126)","('James Gandolfini', 0.00013164859)","('John Ritter', 8.3189116e-05)","('John Terry', 3.3168035e-05)",0.99928194
A-portrait-of-Ben-Affleck_5_0.png,"('Ben Affleck', 0.99933016)","('Casey Affleck', 0.00018635148)","('Tim Curry', 9.1929505e-05)","('Hugh Jackman', 5.26262e-05)","('Andrew Mccarthy', 3.288678e-05)",0.99933016
A-portrait-of-Ben-Stiller_1_0.png,"('Ben Stiller', 0.9992756)","('Shawn Michaels', 0.0002600277)","('Scott Bakula', 0.000104765735)","('Henry Winkler', 8.578803e-05)","('Serj Tankian', 7.171537e-05)",0.9992756
A-portrait-of-Ben-Stiller_2_0.png,"('Ben Stiller', 0.9991141)","('Steve Carell', 0.0001344774)","('Scott Bakula', 0.00012714387)","('Seth Meyers', 7.160005e-05)","('Cheryl Hines', 6.4493746e-05)",0.9991141
A-portrait-of-Ben-Stiller_3_0.png,"('Ben Stiller', 0.99869627)","('Scott Bakula', 0.0010245586)","('Shawn Michaels', 0.00018479917)","('Cheryl Hines', 5.116197e-05)","('Steve Carell', 2.2850867e-05)",0.99869627
A-portrait-of-Ben-Stiller_4_0.png,"('Ben Stiller', 0.9984653)","('Jerry Seinfeld', 0.0008636568)","('Steve Carell', 0.00024745218)","('John Travolta', 9.1227e-05)","('Cheryl Hines', 8.159991e-05)",0.9984653
A-portrait-of-Ben-Stiller_5_0.png,"('Ben Stiller', 0.9993088)","('Anthony Kiedis', 0.00027186886)","('Jerry Seinfeld', 0.00018799576)","('Miguel Ferrer', 0.00011996371)","('Marc Anthony', 2.2156291e-05)",0.9993088
A-portrait-of-Benicio-Del-Toro_1_0.png,"('Benicio Del Toro', 0.98766893)","('Robert Downey Jr', 0.0066990396)","('Imran Khan', 0.004154315)","('Nick Offerman', 0.0009647688)","('Jeffrey Dean Morgan', 8.464624e-05)",0.98766893
A-portrait-of-Benicio-Del-Toro_2_0.png,"('Benicio Del Toro', 0.9975828)","('Robert Downey Jr', 0.0009779123)","('Tim Curry', 0.00048184887)","('Jeffrey Dean Morgan', 0.0001526899)","('Gina Torres', 0.00011551168)",0.9975828
A-portrait-of-Benicio-Del-Toro_3_0.png,"('Benicio Del Toro', 0.9969913)","('Ron Perlman', 0.0007494418)","('Robert Downey Jr', 0.0006690971)","('Imran Khan', 0.0005454588)","('Nick Offerman', 0.00030259546)",0.9969913
A-portrait-of-Benicio-Del-Toro_4_0.png,"('Benicio Del Toro', 0.99968624)","('Robert Downey Jr', 0.00015692541)","('Jeffrey Dean Morgan', 4.70375e-05)","('Imran Khan', 3.610076e-05)","('Danny Pino', 7.912479e-06)",0.99968624
A-portrait-of-Benicio-Del-Toro_5_0.png,"('Benicio Del Toro', 0.99504673)","('Robert Downey Jr', 0.0022598787)","('John Stamos', 0.0010732502)","('Imran Khan', 0.00032216613)","('Gina Torres', 0.00023298044)",0.99504673
A-portrait-of-Bette-Midler_1_0.png,"('Bette Midler', 0.9999785)","('Molly Ringwald', 1.6819944e-05)","('Ginger Rogers', 2.363776e-06)","('Tori Spelling', 1.1585126e-06)","('Hayley Williams', 3.078413e-07)",0.9999785
A-portrait-of-Bette-Midler_2_0.png,"('Bette Midler', 0.9998115)","('Kathy Griffin', 4.3444423e-05)","('Christina Aguilera', 2.7684413e-05)","('Darren Criss', 1.8921233e-05)","('Bianca Del Rio', 1.3767211e-05)",0.9998115
A-portrait-of-Bette-Midler_3_0.png,"('Bette Midler', 0.9999901)","('Molly Ringwald', 3.5305984e-06)","('Aretha Franklin', 3.0259002e-06)","('Ginger Rogers', 2.3853153e-07)","('Lucille Ball', 2.2887475e-07)",0.9999901
A-portrait-of-Bette-Midler_4_0.png,"('Bette Midler', 0.99931335)","('Molly Ringwald', 0.00021649714)","('Christina Aguilera', 0.00016822843)","('Ginger Rogers', 9.5367504e-05)","('Aretha Franklin', 8.590802e-05)",0.99931335
A-portrait-of-Bette-Midler_5_0.png,"('Bette Midler', 0.99999076)","('Molly Ringwald', 4.1862518e-06)","('Hayley Williams', 1.5648071e-06)","('Sarah Jessica Parker', 9.3381175e-07)","('Darren Criss', 5.882657e-07)",0.99999076
A-portrait-of-Betty-White_1_0.png,"('Betty White', 0.99446046)","('Bea Arthur', 0.0036194746)","('Betty Compson', 0.000999522)","('Laura Dern', 0.0001499724)","('Elaine Stritch', 8.631654e-05)",0.99446046
A-portrait-of-Betty-White_2_0.png,"('Betty White', 0.99919814)","('Betty Compson', 0.0004270266)","('Bea Arthur', 0.0001709111)","('Bob Barker', 6.292866e-05)","('Bette Davis', 1.576124e-05)",0.99919814
A-portrait-of-Betty-White_3_0.png,"('Betty White', 0.9687832)","('Bea Arthur', 0.0071657184)","('Meryl Streep', 0.0042965515)","('Bette Davis', 0.0033710836)","('Bernadette Peters', 0.0030337048)",0.9687832
A-portrait-of-Betty-White_4_0.png,"('Betty White', 0.99253935)","('Bea Arthur', 0.0020876105)","('Betty Compson', 0.0020161255)","('Jessica Walter', 0.0012093033)","('Bob Barker', 0.0009202843)",0.99253935
A-portrait-of-Betty-White_5_0.png,"('Betty White', 0.9954064)","('Betty Compson', 0.0018740857)","('Bea Arthur', 0.00090626767)","('Bob Barker', 0.0006541822)","('Bette Davis', 0.00022602371)",0.9954064
A-portrait-of-Bill-Murray_1_0.png,"('Bill Murray', 0.971401)","('John Carroll Lynch', 0.0025973967)","('Hulk Hogan', 0.0025114596)","('Wilford Brimley', 0.0023675247)","('Terry Funk', 0.0023509697)",0.971401
A-portrait-of-Bill-Murray_2_0.png,"('Bill Murray', 0.99954045)","('Sean Murray', 0.00033676918)","('Jack Lemmon', 1.5481071e-05)","('Tom Hanks', 1.2687337e-05)","('Peter Gabriel', 1.0533178e-05)",0.99954045
A-portrait-of-Bill-Murray_3_0.png,"('Bill Murray', 0.9998147)","('Gene Hackman', 2.9554827e-05)","('James Gandolfini', 2.199726e-05)","('Stockard Channing', 1.7213304e-05)","('Dom Deluise', 1.5072545e-05)",0.9998147
A-portrait-of-Bill-Murray_4_0.png,"('Bill Murray', 0.9991367)","('Danny Devito', 0.00020414211)","('Jack Nicholson', 0.00017679734)","('John Carroll Lynch', 0.00015150197)","('Ciro Gomes', 4.182754e-05)",0.9991367
A-portrait-of-Bill-Murray_5_0.png,"('Bill Murray', 0.9994529)","('John Carroll Lynch', 0.00041885916)","('Peter Gabriel', 2.7746999e-05)","('Clint Howard', 1.2973899e-05)","('Dom Deluise', 1.08801705e-05)",0.9994529
A-portrait-of-Bill-Nye_1_0.png,"('Bill Nye', 0.9989873)","('Jessica Lange', 0.0007092834)","('Billy Bob Thornton', 6.671465e-05)","('Robert Sean Leonard', 5.2944408e-05)","('Benedict Cumberbatch', 4.1505293e-05)",0.9989873
A-portrait-of-Bill-Nye_2_0.png,"('Bill Nye', 0.9999895)","('George Bush', 2.4180447e-06)","('Benedict Cumberbatch', 2.064021e-06)","('Richard Marx', 7.885101e-07)","('Alan Simpson', 7.0139976e-07)",0.9999895
A-portrait-of-Bill-Nye_3_0.png,"('Bill Nye', 0.9999474)","('Henry Winkler', 1.8636481e-05)","('Warren Beatty', 8.72427e-06)","('Henry Rollins', 3.6424467e-06)","('Benedict Cumberbatch', 2.6408566e-06)",0.9999474
A-portrait-of-Bill-Nye_4_0.png,"('Bill Nye', 0.99980766)","('Henry Winkler', 4.4045202e-05)","('Benedict Cumberbatch', 4.3746597e-05)","('Henry Rollins', 4.2603322e-05)","('Billy Bob Thornton', 9.511001e-06)",0.99980766
A-portrait-of-Bill-Nye_5_0.png,"('Bill Nye', 0.9998858)","('Henry Rollins', 4.4181845e-05)","('Benedict Cumberbatch', 3.327897e-05)","('Rob Delaney', 8.982731e-06)","('Eugene Levy', 4.503987e-06)",0.9998858
A-portrait-of-Britney-Spears_1_0.png,"('Britney Spears', 0.998582)","('Jessica Simpson', 0.0013220692)","('Erin Heatherton', 2.4293697e-05)","('Ashlee Simpson', 2.11052e-05)","('Courtney Stodden', 1.710493e-05)",0.998582
A-portrait-of-Britney-Spears_2_0.png,"('Britney Spears', 0.9996728)","('Heather Locklear', 0.0002470149)","('Toni Braxton', 2.5308776e-05)","('Tori Spelling', 6.7932756e-06)","('Sarah Chalke', 6.3259326e-06)",0.9996728
A-portrait-of-Britney-Spears_3_0.png,"('Pauley Perrette', 0.75407434)","('Fergie', 0.09187233)","('Lana Del Rey', 0.029367799)","('Anna Faris', 0.02896819)","('Kirstie Alley', 0.024064261)",0
A-portrait-of-Britney-Spears_4_0.png,"('Britney Spears', 0.9997663)","('Heather Locklear', 0.00013043589)","('Ashlee Simpson', 3.1966058e-05)","('Amanda Bynes', 2.0979573e-05)","('Jessica Nigri', 1.00415255e-05)",0.9997663
A-portrait-of-Britney-Spears_5_0.png,"('Britney Spears', 0.99982196)","('Drew Barrymore', 4.0971878e-05)","('Sarah Chalke', 1.9623345e-05)","('Bo Derek', 1.580161e-05)","('Heather Locklear', 1.134213e-05)",0.99982196
A-portrait-of-Brittany-Snow_1_0.png,"('Brittany Snow', 0.9954071)","('Kate Walsh', 0.0043821954)","('Carrie Preston', 4.751591e-05)","('Amy Smart', 2.8113529e-05)","('Jodie Sweetin', 1.5205925e-05)",0.9954071
A-portrait-of-Brittany-Snow_2_0.png,"('Brittany Snow', 0.99982065)","('Sheryl Crow', 6.444046e-05)","('Stephanie Mcmahon', 1.6536536e-05)","('Kelly Clarkson', 1.0221898e-05)","('Molly Ringwald', 8.958193e-06)",0.99982065
A-portrait-of-Brittany-Snow_3_0.png,"('Amy Smart', 0.19819158)","('Austin Butler', 0.18868732)","('Brittany Snow', 0.17825788)","('Lucas Till', 0.17504328)","('Matt Smith', 0.05212212)",0
A-portrait-of-Brittany-Snow_4_0.png,"('Brittany Snow', 0.9959196)","('Maika Monroe', 0.0013917442)","('Kate Mckinnon', 0.00025866847)","('Jake Gyllenhaal', 0.0002400927)","('Brittany Murphy', 0.0002368689)",0.9959196
A-portrait-of-Brittany-Snow_5_0.png,"('Brittany Snow', 0.9988524)","('Danny Trejo', 0.00022430603)","('Jenna Haze', 0.0001457473)","('Sheryl Crow', 0.00012668855)","('Jake Gyllenhaal', 8.68216e-05)",0.9988524
A-portrait-of-Bruce-Lee_1_0.png,"('Bruce Lee', 0.98274773)","('Manny Pacquiao', 0.012156593)","('George Takei', 0.003383725)","('John Cho', 0.00065099803)","('Angela Bassett', 0.0003354795)",0.98274773
A-portrait-of-Bruce-Lee_2_0.png,"('Bruce Lee', 0.97497624)","('Ki Hong Lee', 0.019130424)","('Lee Min Ho', 0.0010080528)","('Daniel Henney', 0.0010060793)","('Tyler Hoechlin', 0.0008247678)",0.97497624
A-portrait-of-Bruce-Lee_3_0.png,"('Bruce Lee', 0.9378387)","('John Cho', 0.030455979)","('Manny Pacquiao', 0.024865411)","('George Takei', 0.004081385)","('Ki Hong Lee', 0.0010224709)",0.9378387
A-portrait-of-Bruce-Lee_4_0.png,"('Bruce Lee', 0.9928731)","('Manny Pacquiao', 0.001906456)","('Keke Palmer', 0.0010764145)","('Angela Bassett', 0.00095462764)","('Ki Hong Lee', 0.0008204118)",0.9928731
A-portrait-of-Bruce-Lee_5_0.png,"('Bruce Lee', 0.9896257)","('Ki Hong Lee', 0.0077473973)","('John Cho', 0.00077781756)","('George Takei', 0.0007511294)","('Angela Bassett', 0.00019123072)",0.9896257
A-portrait-of-Burt-Reynolds_1_0.png,"('Burt Reynolds', 0.88345146)","('Neil Diamond', 0.06507292)","('Tom Selleck', 0.017367836)","('Jack Black', 0.01611393)","('Chris Evans', 0.0075965542)",0.88345146
A-portrait-of-Burt-Reynolds_2_0.png,"('Burt Reynolds', 0.9759512)","('Tom Selleck', 0.019929824)","('Sam Elliott', 0.000809906)","('Steven Seagal', 0.00077060173)","('Neil Diamond', 0.00040658968)",0.9759512
A-portrait-of-Burt-Reynolds_3_0.png,"('Burt Reynolds', 0.9994435)","('Dan Aykroyd', 9.0214206e-05)","('Michael Landon', 6.0935832e-05)","('Sean Connery', 5.403483e-05)","('Roger Federer', 5.204469e-05)",0.9994435
A-portrait-of-Burt-Reynolds_4_0.png,"('Burt Reynolds', 0.99985063)","('Sean Connery', 3.4098655e-05)","('Gregory Peck', 2.7618962e-05)","('Tom Selleck', 2.4573459e-05)","('Rick Rude', 1.4080109e-05)",0.99985063
A-portrait-of-Burt-Reynolds_5_0.png,"('Burt Reynolds', 0.9947977)","('Sean Connery', 0.0022643604)","('Neil Diamond', 0.0020238487)","('Tom Selleck', 0.00016251252)","('Henry Rollins', 0.00011482527)",0.9947977
A-portrait-of-Charles-Manson_1_0.png,"('Charles Manson', 0.9212812)","('Rob Zombie', 0.0129423225)","('Joaquin Phoenix', 0.0108034285)","('John Lennon', 0.0048951367)","('Frank Zappa', 0.0037865057)",0.9212812
A-portrait-of-Charles-Manson_2_0.png,"('Charles Manson', 0.9995158)","('Joaquin Phoenix', 0.00014061583)","('Rob Zombie', 0.0001035822)","('Chuck Norris', 4.4134296e-05)","('John Lennon', 2.4582127e-05)",0.9995158
A-portrait-of-Charles-Manson_3_0.png,"('Charles Manson', 0.984295)","('Sam Elliott', 0.0071642315)","('Serj Tankian', 0.0028611554)","('Sean Connery', 0.0018917396)","('Jr Smith', 0.0015989586)",0.984295
